P(LCR)	species	genus	family	order	class	phylum	domain
100	0.9877	0.0122	0.0001	0.0000	0.0000	0.0000	0.0000
99	0.5860	0.4100	0.0037	0.0003	0.0000	0.0000	0.0000
98	0.2105	0.7658	0.0214	0.0019	0.0004	0.0000	0.0000
97	0.0207	0.8991	0.0753	0.0044	0.0005	0.0000	0.0000
96	0.0026	0.7642	0.2194	0.0103	0.0023	0.0012	0.0000
95	0.0009	0.7167	0.2570	0.0180	0.0043	0.0031	0.0000
94	0.0002	0.7376	0.2389	0.0162	0.0052	0.0020	0.0000
93	0.0001	0.7220	0.2531	0.0164	0.0072	0.0012	0.0000
92	0.0000	0.6788	0.2956	0.0170	0.0074	0.0011	0.0000
91	0.0000	0.6173	0.3556	0.0210	0.0050	0.0012	0.0000
90	0.0000	0.5528	0.4126	0.0272	0.0057	0.0017	0.0000
89	0.0000	0.4826	0.4843	0.0276	0.0045	0.0009	0.0000
88	0.0000	0.4056	0.5623	0.0281	0.0035	0.0005	0.0000
87	0.0000	0.3658	0.5891	0.0418	0.0024	0.0008	0.0000
86	0.0000	0.3393	0.6014	0.0551	0.0030	0.0013	0.0000
85	0.0000	0.3251	0.5978	0.0701	0.0050	0.0020	0.0000
84	0.0000	0.3279	0.5631	0.0995	0.0064	0.0032	0.0000
83	0.0000	0.3168	0.5174	0.1513	0.0090	0.0055	0.0000
82	0.0000	0.2700	0.4903	0.2179	0.0117	0.0101	0.0000
81	0.0000	0.2015	0.4744	0.2953	0.0156	0.0132	0.0000
80	0.0000	0.1757	0.4591	0.3304	0.0179	0.0170	0.0000

P(CR)	species	genus	family	order	class	phylum	domain
100	0.9877	0.9999	1.0000	1.0000	1.0000	1.0000	1.0000
99	0.5860	0.9960	0.9997	1.0000	1.0000	1.0000	1.0000
98	0.2105	0.9763	0.9977	0.9996	1.0000	1.0000	1.0000
97	0.0207	0.9198	0.9951	0.9995	1.0000	1.0000	1.0000
96	0.0026	0.7668	0.9862	0.9965	0.9988	1.0000	1.0000
95	0.0009	0.7176	0.9746	0.9926	0.9969	1.0000	1.0000
94	0.0002	0.7377	0.9766	0.9928	0.9980	1.0000	1.0000
93	0.0001	0.7221	0.9753	0.9916	0.9988	1.0000	1.0000
92	0.0000	0.6788	0.9745	0.9915	0.9989	1.0000	1.0000
91	0.0000	0.6173	0.9729	0.9938	0.9988	1.0000	1.0000
90	0.0000	0.5528	0.9654	0.9926	0.9983	1.0000	1.0000
89	0.0000	0.4827	0.9670	0.9945	0.9991	1.0000	1.0000
88	0.0000	0.4057	0.9679	0.9960	0.9995	1.0000	1.0000
87	0.0000	0.3658	0.9549	0.9967	0.9992	1.0000	1.0000
86	0.0000	0.3393	0.9407	0.9957	0.9987	1.0000	1.0000
85	0.0000	0.3251	0.9229	0.9930	0.9980	1.0000	1.0000
84	0.0000	0.3279	0.8910	0.9904	0.9968	1.0000	1.0000
83	0.0000	0.3168	0.8342	0.9855	0.9945	1.0000	1.0000
82	0.0000	0.2700	0.7603	0.9782	0.9899	1.0000	1.0000
81	0.0000	0.2015	0.6758	0.9712	0.9868	1.0000	1.0000
80	0.0000	0.1757	0.6347	0.9652	0.9830	1.0000	1.0000
