P(LCR)	species	genus	family	order	class	phylum	domain
100	0.4177	0.5619	0.0163	0.0004	0.0037	0.0001	0.0000
99	0.0193	0.9487	0.0255	0.0021	0.0042	0.0000	0.0001
98	0.0018	0.8792	0.1034	0.0091	0.0062	0.0000	0.0003
97	0.0004	0.8181	0.1502	0.0269	0.0037	0.0001	0.0006
96	0.0004	0.6179	0.2635	0.1114	0.0057	0.0002	0.0009
95	0.0001	0.3776	0.3020	0.2377	0.0816	0.0003	0.0007
94	0.0001	0.1582	0.2229	0.2658	0.3526	0.0001	0.0004
93	0.0000	0.0483	0.1143	0.1836	0.6536	0.0001	0.0002
92	0.0000	0.0239	0.0708	0.1438	0.7611	0.0001	0.0003
91	0.0000	0.0152	0.0473	0.1110	0.8261	0.0001	0.0003
90	0.0000	0.0090	0.0353	0.1066	0.8483	0.0005	0.0003
89	0.0000	0.0071	0.0353	0.1372	0.8185	0.0013	0.0006
88	0.0000	0.0038	0.0416	0.1710	0.7777	0.0046	0.0013
87	0.0000	0.0026	0.0383	0.1712	0.7715	0.0141	0.0023
86	0.0000	0.0025	0.0373	0.1484	0.7787	0.0307	0.0024
85	0.0000	0.0018	0.0378	0.1278	0.7421	0.0858	0.0048
84	0.0000	0.0010	0.0389	0.1022	0.6091	0.2227	0.0261
83	0.0000	0.0007	0.0272	0.0797	0.3930	0.3836	0.1158
82	0.0000	0.0005	0.0100	0.0473	0.2104	0.4548	0.2769
81	0.0000	0.0001	0.0034	0.0270	0.1012	0.5120	0.3564
80	0.0000	0.0001	0.0014	0.0165	0.0449	0.5095	0.4277

P(CR)	species	genus	family	order	class	phylum	domain
100	0.4177	0.9795	0.9958	0.9962	0.9998	1.0000	1.0000
99	0.0193	0.9680	0.9935	0.9956	0.9999	0.9999	1.0000
98	0.0018	0.8810	0.9844	0.9935	0.9997	0.9997	1.0000
97	0.0004	0.8185	0.9687	0.9956	0.9993	0.9994	1.0000
96	0.0004	0.6183	0.8818	0.9932	0.9989	0.9991	1.0000
95	0.0001	0.3777	0.6797	0.9175	0.9990	0.9993	1.0000
94	0.0001	0.1582	0.3812	0.6469	0.9995	0.9996	1.0000
93	0.0000	0.0483	0.1625	0.3461	0.9997	0.9998	1.0000
92	0.0000	0.0239	0.0946	0.2384	0.9995	0.9997	1.0000
91	0.0000	0.0152	0.0625	0.1735	0.9996	0.9997	1.0000
90	0.0000	0.0090	0.0443	0.1509	0.9992	0.9997	1.0000
89	0.0000	0.0071	0.0423	0.1796	0.9981	0.9994	1.0000
88	0.0000	0.0038	0.0454	0.2164	0.9941	0.9987	1.0000
87	0.0000	0.0026	0.0409	0.2121	0.9837	0.9977	1.0000
86	0.0000	0.0025	0.0398	0.1882	0.9670	0.9976	1.0000
85	0.0000	0.0018	0.0396	0.1673	0.9094	0.9952	1.0000
84	0.0000	0.0010	0.0399	0.1421	0.7512	0.9739	1.0000
83	0.0000	0.0007	0.0279	0.1076	0.5005	0.8842	1.0000
82	0.0000	0.0005	0.0105	0.0578	0.2682	0.7231	1.0000
81	0.0000	0.0001	0.0035	0.0305	0.1317	0.6436	1.0000
80	0.0000	0.0001	0.0015	0.0179	0.0628	0.5723	1.0000
