
# Metric TPR, RefDB BLAST16S_10 V3-V5 family
100	99	97	95	90	Method
99.8	96.9	88.0	76.7	39.6	BLCA
97.4	96.5	91.7	86.1	52.5	CT1
89.6	87.0	81.7	72.9	40.2	CT2
69.0	62.6	58.4	47.0	14.0	KNN
88.6	88.0	74.9	61.8	30.1	Metaxa2
89.0	86.0	81.6	70.5	37.4	Q2_BLAST
98.0	93.6	87.9	82.4	42.7	Q2_SK
89.8	86.9	82.3	74.6	41.1	Q2_VS
97.8	95.5	91.0	81.2	42.8	Q1
99.8	97.9	92.5	86.3	56.9	RDP50
99.5	97.3	88.6	81.7	38.0	RDP80
99.9	98.0	91.0	79.3	36.1	SINTAX50
99.5	94.3	80.8	63.2	21.3	SINTAX80
99.8	97.8	92.7	86.6	57.0	NBC50
99.5	97.2	88.9	81.7	37.9	NBC80
99.9	98.4	93.0	85.5	55.7	BTOP
99.9	97.8	92.8	84.6	57.5	TOP
99.9	97.9	92.8	87.4	56.1	KTOP
99.8	98.7	93.4	87.2	62.1	Microclass
