
# Metric Acc, RefDB WITS full-length order
100	99	97	95	90	Method
100.0	99.6	99.0	98.6	95.4	BLCA
99.8	99.3	99.2	98.9	97.9	CT1
98.7	98.5	99.2	99.1	97.9	CT2
94.4	93.2	95.8	94.7	93.3	KNN
97.2	95.6	98.3	97.5	95.3	Metaxa2
97.6	97.1	99.0	98.8	97.8	Q2_BLAST
99.7	99.7	99.3	99.1	98.4	Q2_SK
99.1	99.1	99.4	99.2	98.3	Q2_VS
100.0	99.4	99.3	98.7	91.0	Q1
99.9	99.8	99.4	99.2	98.1	RDP50
99.8	99.7	99.4	98.7	97.3	RDP80
100.0	99.9	99.4	98.9	98.0	SINTAX50
100.0	99.9	99.3	98.6	97.1	SINTAX80
99.9	99.8	99.4	99.3	98.0	NBC50
99.8	99.7	99.4	98.7	97.4	NBC80
100.0	100.0	99.4	98.9	98.1	BTOP
100.0	99.9	99.4	99.1	98.1	TOP
100.0	99.9	99.4	99.1	97.9	KTOP
99.9	99.8	99.4	99.4	98.4	Microclass
