
# Metric Acc, RefDB BLAST16S_10 V3-V5 order
100	99	97	95	90	Method
100.0	99.6	98.2	92.5	49.9	BLCA
99.0	99.4	98.8	96.6	61.8	CT1
95.9	96.3	95.0	91.5	57.0	CT2
87.4	88.0	87.4	75.6	39.3	KNN
95.0	96.3	92.8	82.3	48.5	Metaxa2
95.7	96.3	95.1	88.9	50.5	Q2_BLAST
99.6	99.5	98.4	95.4	55.1	Q2_SK
96.0	96.4	95.6	92.3	57.5	Q2_VS
99.4	99.4	98.4	93.7	51.0	Q1
99.9	99.7	99.1	96.9	62.2	RDP50
99.8	99.7	98.9	96.1	53.2	RDP80
100.0	99.8	99.0	96.6	55.1	SINTAX50
99.9	99.4	97.4	90.2	39.5	SINTAX80
99.9	99.7	99.1	96.9	62.9	NBC50
99.8	99.7	98.9	95.8	53.2	NBC80
100.0	99.7	99.3	95.9	59.7	BTOP
100.0	99.7	99.4	95.4	63.8	TOP
100.0	99.8	99.4	97.2	61.7	KTOP
99.9	99.8	99.4	97.5	64.2	Microclass
