
WITS fl genus
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
98.5	0.0	1.5	100.0	97.8	97.8	KTOP
98.4	0.2	1.4	87.3	97.7	97.8	TOP
98.2	0.7	1.1	54.2	97.5	97.8	NBC50
98.4	0.0	1.6	100.0	97.7	97.7	NBC0
98.5	0.0	1.5	100.0	97.7	97.7	SINTAX0
97.7	1.4	0.8	28.8	97.0	97.5	SINTAX50
97.5	1.9	0.6	27.1	96.8	97.3	NBC80
96.2	3.5	0.4	16.9	95.5	96.0	SINTAX80
92.0	1.4	6.6	78.0	91.3	91.4	CT1
80.2	11.3	8.5	48.3	79.7	80.0	CT2
