
BLAST16S_10 v4 family
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
96.4	0.0	3.6	100.0	95.7	95.7	SINTAX0
96.1	0.0	3.9	100.0	95.5	95.5	KTOP
96.1	0.0	3.9	100.0	95.4	95.4	NBC0
95.7	0.0	4.3	100.0	95.1	95.1	TOP
95.4	2.1	2.5	45.1	94.8	95.1	NBC50
94.5	3.9	1.6	13.7	93.8	94.4	SINTAX50
93.2	1.1	5.7	90.2	92.6	92.6	CT1
92.0	6.8	1.2	17.6	91.4	91.9	NBC80
89.3	9.9	0.9	7.8	88.7	89.2	SINTAX80
85.0	9.4	5.6	49.0	84.4	84.7	CT2
