
BLAST16S_10 v35 family
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
97.1	0.0	2.9	100.0	96.5	96.5	KTOP
97.1	0.0	2.9	100.0	96.5	96.5	NBC0
97.1	0.0	2.9	100.0	96.5	96.5	SINTAX0
97.0	0.0	3.0	100.0	96.4	96.4	TOP
96.8	1.2	2.1	57.8	96.2	96.4	NBC50
95.6	3.1	1.3	26.7	95.0	95.5	SINTAX50
95.3	3.5	1.2	28.9	94.7	95.1	NBC80
95.2	1.0	3.7	77.8	94.6	94.8	CT1
92.1	7.2	0.7	11.1	91.5	92.0	SINTAX80
88.5	6.6	4.9	48.9	87.9	88.2	CT2
