
BLAST16S_10 fl family
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
97.9	0.6	1.6	64.7	97.2	97.5	NBC50
98.0	0.0	2.0	100.0	97.3	97.3	NBC0
98.0	0.0	2.0	100.0	97.3	97.3	TOP
98.0	0.0	2.0	100.0	97.3	97.3	SINTAX0
97.8	0.0	2.2	100.0	97.2	97.2	KTOP
97.2	1.8	1.0	37.3	96.6	97.0	NBC80
96.4	2.7	0.9	13.7	95.8	96.3	SINTAX50
96.5	0.7	2.8	84.3	95.9	96.0	CT1
92.2	7.2	0.5	5.9	91.6	92.2	SINTAX80
91.0	5.5	3.5	41.2	90.4	90.7	CT2
