
BLAST16S_10 v4 species
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
24.3	59.0	16.7	21.3	7.4	16.4	CT1
0.8	98.9	0.3	0.6	0.2	0.8	CT2
73.9	0.0	26.1	100.0	22.6	22.6	KTOP
72.8	0.0	27.2	100.0	22.3	22.3	NBC0
47.8	50.8	1.4	18.4	14.6	33.7	SINTAX80
74.7	0.0	25.3	100.0	22.9	22.9	TOP
63.8	29.1	7.1	38.7	19.5	34.0	SINTAX50
60.8	24.6	14.6	38.9	18.6	32.3	NBC80
71.1	4.3	24.5	72.0	21.8	27.0	NBC50
75.8	0.0	24.2	100.0	23.2	23.2	SINTAX0
