
WITS fl class
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
99.9	0.0	0.1	-	99.9	99.9	KTOP
99.9	0.0	0.1	-	99.9	99.9	NBC0
99.9	0.1	0.0	-	99.9	99.9	NBC50
99.9	0.0	0.1	-	99.9	99.9	SINTAX0
99.8	0.1	0.1	-	99.8	99.8	SINTAX50
99.8	0.1	0.0	-	99.8	99.8	NBC80
99.7	0.2	0.1	-	99.7	99.7	TOP
99.6	0.3	0.0	-	99.6	99.6	SINTAX80
99.5	0.3	0.2	-	99.5	99.5	CT1
99.4	0.3	0.3	-	99.4	99.4	CT2
