
BLAST16S_10 v35 genus
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
86.2	10.6	3.1	34.5	75.1	82.0	SINTAX50
88.5	5.2	6.3	63.1	77.1	81.0	NBC50
91.4	0.0	8.6	100.0	79.6	79.6	KTOP
91.3	0.0	8.7	100.0	79.5	79.5	TOP
91.3	0.0	8.7	100.0	79.5	79.5	SINTAX0
90.0	0.0	10.0	100.0	78.4	78.4	NBC0
82.3	15.1	2.6	34.8	71.6	78.2	NBC80
78.4	10.2	11.3	64.5	68.3	71.6	CT1
72.6	26.4	1.0	15.5	63.3	71.0	SINTAX80
46.0	45.8	8.2	22.3	40.1	44.5	CT2
