
BLAST16S_10 v35 order
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
99.0	0.4	0.6	45.8	98.7	98.9	NBC50
99.2	0.0	0.8	100.0	98.8	98.8	NBC0
99.1	0.0	0.9	100.0	98.8	98.8	TOP
99.1	0.0	0.9	100.0	98.7	98.7	KTOP
99.1	0.0	0.9	100.0	98.7	98.7	SINTAX0
98.4	1.2	0.4	16.7	98.1	98.4	NBC80
98.4	1.2	0.4	16.7	98.0	98.3	SINTAX50
98.0	0.4	1.6	75.0	97.7	97.8	CT1
97.0	2.7	0.3	8.3	96.7	97.0	SINTAX80
95.4	2.4	2.1	54.2	95.1	95.3	CT2
