
BLAST16S_10 fl species
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
29.1	54.9	15.9	20.0	9.0	20.1	CT1
2.0	97.6	0.4	0.4	0.6	2.0	CT2
89.8	0.0	10.2	100.0	27.7	27.7	KTOP
86.9	0.0	13.1	100.0	26.8	26.8	NBC0
62.4	36.5	1.1	14.3	19.3	47.2	SINTAX80
91.6	0.0	8.4	100.0	28.3	28.3	TOP
81.5	13.8	4.7	35.7	25.2	45.3	SINTAX50
81.8	10.6	7.6	52.4	25.2	37.6	NBC80
86.6	1.3	12.1	82.9	26.7	30.3	NBC50
90.1	0.0	9.9	100.0	27.8	27.8	SINTAX0
