
WITS fl species
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
48.5	22.0	29.5	70.8	42.6	44.2	CT1
7.0	90.0	3.0	3.9	6.1	6.9	CT2
88.9	0.0	11.1	100.0	78.2	78.2	KTOP
85.6	0.0	14.4	100.0	75.4	75.4	NBC0
71.5	26.9	1.6	23.6	62.9	69.2	SINTAX80
89.2	0.0	10.8	97.9	78.5	78.7	TOP
84.8	8.2	7.0	46.3	74.6	79.8	SINTAX50
79.5	12.5	7.9	44.5	70.0	75.0	NBC80
85.0	1.9	13.1	71.6	74.8	77.4	NBC50
88.7	0.0	11.3	100.0	78.0	78.0	SINTAX0
