
BLAST16S_10 v4 class
TPR	UCR	MCR	OCR	Acc_RDP	Acc	Method
99.4	0.0	0.6	100.0	99.3	99.3	KTOP
99.5	0.0	0.5	100.0	99.3	99.3	NBC0
99.4	0.0	0.6	100.0	99.3	99.3	TOP
99.3	0.4	0.3	35.7	99.2	99.3	NBC50
99.5	0.0	0.5	100.0	99.3	99.3	SINTAX0
99.2	0.5	0.3	28.6	99.0	99.2	SINTAX50
99.1	0.1	0.7	100.0	99.0	99.0	CT1
98.8	1.0	0.2	7.1	98.6	98.8	NBC80
98.6	1.2	0.2	0.0	98.4	98.6	SINTAX80
97.9	0.9	1.1	71.4	97.7	97.8	CT2
